Name	Description	GTEX-11DZ1-0011-R2a-SM-DNZZM	GTEX-11EMC-0011-R2b-SM-DO114	GTEX-11GS4-0011-R2a-SM-DO942	GTEX-11GSO-0011-R2a-SM-57WDF	GTEX-11GSP-0011-R2b-SM-9QEGE	GTEX-11PRG-0011-R2a-SM-69LQ5	GTEX-11TUW-0011-R2b-SM-DO92T	GTEX-11UD1-0011-R2b-SM-5BC6O	GTEX-11WQC-0011-R2a-SM-DO927	GTEX-11ZTS-0011-R2b-SM-5BC75	GTEX-12WSA-0011-R2a-SM-57WDK	GTEX-12WSD-0011-R2a-SM-5LZWB	GTEX-12WSF-0011-R2a-SM-5DUVU	GTEX-12WSH-0011-R2a-SM-5GU68	GTEX-12ZZX-0011-R2a-SM-5EGLG	GTEX-1313W-0011-R2a-SM-5EGLF	GTEX-131XH-0011-R2b-SM-5DUVY	GTEX-132Q8-0011-R2b-SM-5EQ5Z	GTEX-1399T-0011-R2b-SM-5DUXM	GTEX-139TS-0011-R2b-SM-5J1MX	GTEX-13CF2-0011-R2a-SM-5L3DC	GTEX-13FXS-0011-R2b-SM-5K7XX	GTEX-13G51-0011-R2b-SM-5LZXS	GTEX-13N2G-0011-R2a-SM-5MR4Q	GTEX-13NYB-0011-R2a-SM-5MR3C	GTEX-13NYS-0011-R2b-SM-5MR4G	GTEX-13O3O-0011-R2b-SM-5P9H1	GTEX-13O3Q-0011-R2b-SM-5KM3K	GTEX-13OVJ-0011-R2b-SM-5L3GP	GTEX-13OW6-0011-R2a-SM-5L3HG	GTEX-13OW8-0011-R2a-SM-5L3G2	GTEX-13PDP-0011-R2b-SM-5O9DH	GTEX-13QJC-0011-R2b-SM-5PNUN	GTEX-13RTJ-0011-R2a-SM-5PNW9	GTEX-13SLW-0011-R2b-SM-5O9C6	GTEX-13SLX-0011-R2b-SM-5S2VP	GTEX-13X6I-0011-R2b-SM-5PNWQ	GTEX-13X6K-0011-R2b-SM-5P9K3	GTEX-1445S-0011-R2b-SM-5PNUH	GTEX-145LS-0011-R2a-SM-5PNZI	GTEX-147GR-0011-R2b-SM-5S2RQ	GTEX-14ASI-0011-R2b-SM-5YY9H	GTEX-14BIM-0011-R2b-SM-69LQ6	GTEX-14BIN-0011-R2a-SM-5S2RJ	GTEX-14C5O-0011-R2a-SM-5ZZV2	GTEX-14JG1-0011-R2a-SM-5ZZVE	GTEX-14PJO-0011-R2a-SM-5ZZVF	GTEX-14PN4-0011-R2a-SM-6EU2Y	GTEX-15CHQ-0011-R2b-SM-6AJAD	GTEX-15DCD-0011-R2b-SM-6LPIE	GTEX-15DYW-0011-R2b-SM-7KUKY	GTEX-15EO6-0011-R2a-SM-6M46R	GTEX-15ER7-0011-R2a-SM-6M46O	GTEX-15RJE-0011-R2b-SM-79OMP	GTEX-16Z82-0011-R2b-SM-79OK9	GTEX-17EVP-0011-R2a-SM-7LG4W	GTEX-17HG3-0011-R2a-SM-7MGVX	GTEX-18464-0011-R2a-SM-731AL	GTEX-1A3MX-0011-R2b-SM-7EWFL	GTEX-1A8G7-0011-R2a-SM-7IGQI	GTEX-1B8L1-0011-R2a-SM-9OSVL	GTEX-1B8SG-0011-R2b-SM-79OOT	GTEX-1B933-0011-R2b-SM-7IGNM	GTEX-1B996-0011-R2a-SM-7IGON	GTEX-1C6VR-0011-R2a-SM-7RHGZ	GTEX-1CB4G-0011-R2a-SM-9QEGQ	GTEX-1E1VI-0011-R2a-SM-9QEGS	GTEX-1EKGG-0011-R2a-SM-CE6R8	GTEX-1EMGI-0011-R2b-SM-9OSVS	GTEX-1EU9M-0011-R2b-SM-9QEH7	GTEX-1F48J-0011-R2a-SM-CL535	GTEX-1F6I4-0011-R2a-SM-CL536	GTEX-1F6IF-0011-R2b-SM-9QEHB	GTEX-1F75B-0011-R2a-SM-ARL8I	GTEX-1GMR8-0011-R2a-SM-CE6RD	GTEX-1GN1U-0011-R2a-SM-CL53A	GTEX-1GN2E-0011-R2a-SM-9WG7D	GTEX-1GN73-0011-R2a-SM-CJI2V	GTEX-1GTWX-0011-R2b-SM-ADEH5	GTEX-1GZ2Q-0011-R2b-SM-9OSWO	GTEX-1H1DG-0011-R2a-SM-ADEIQ	GTEX-1H1ZS-0011-R2b-SM-CL54Q	GTEX-1H23P-0011-R2a-SM-CKZP3	GTEX-1H3O1-0011-R2b-SM-CKZOT	GTEX-1H3VE-0011-R2a-SM-CE6SA	GTEX-1HB9E-0011-R2b-SM-A96RW	GTEX-1HFI6-0011-R2a-SM-CMKH5	GTEX-1HR98-0011-R2a-SM-ARL7A	GTEX-1HSMO-0011-R2a-SM-CL553	GTEX-1HT8W-0011-R2a-SM-CMKH9	GTEX-1I1CD-0011-R2a-SM-CM2T3	GTEX-1I1GS-0011-R2b-SM-CMKHG	GTEX-1I1GV-0011-R2a-SM-ARZLF	GTEX-1IGQW-0011-R2b-SM-D4P26	GTEX-1IKJJ-0011-R2b-SM-ARZLJ	GTEX-1IKOH-0011-R2a-SM-CMKHO	GTEX-1IL2U-0011-R2a-SM-ARU6V	GTEX-1IY9M-0011-R2a-SM-D4P29	GTEX-1J1OQ-0011-R2b-SM-ARU88	GTEX-1J8Q2-0011-R2b-SM-EAZ2X	GTEX-1JMQK-0011-R2a-SM-EYYXQ	GTEX-1LB8K-0011-R2a-SM-EZ6MQ	GTEX-1LH75-0011-R2b-SM-EYYWQ	GTEX-1LSNL-0011-R2a-SM-EZ6MK	GTEX-1LVA9-0011-R2a-SM-EZ6MJ	GTEX-1LVAO-0011-R2a-SM-EYYX1	GTEX-1MA7X-0011-R2b-SM-EZ6MT	GTEX-1RLM8-0011-R2a-SM-EZ6N4	GTEX-N7MS-0011-R2a-SM-2HML6	GTEX-N7MT-0011-R2a-SM-2I3GI	GTEX-NL4W-0011-R2a-SM-2I5GV	GTEX-NPJ7-0011-R2a-SM-2I3GF	GTEX-NPJ8-0011-R2a-SM-2TC6M	GTEX-OHPN-0011-R2A-SM-2I5FB	GTEX-OXRO-0011-R2A-SM-3NB1W	GTEX-P44G-0011-R2A-SM-2XCD2	GTEX-PWO3-0011-R2A-SM-2S1OX	GTEX-Q2AG-0011-R2A-SM-2HMIT	GTEX-QDT8-0011-R2A-SM-32PKQ	GTEX-QMR6-0011-R2A-SM-32PKV	GTEX-R55E-0011-R2A-SM-EYYV9	GTEX-RU72-0011-R2A-SM-2TF6O	GTEX-S7SE-0011-R2A-SM-2XCDC	GTEX-T2IS-0011-R2A-SM-32QPF	GTEX-T5JC-0011-R2A-SM-32PLZ	GTEX-T6MN-0011-R2A-SM-32QOW	GTEX-UTHO-0011-R2A-SM-3GIKC	GTEX-WHSE-0011-R2A-SM-3P5ZL	GTEX-X4XX-0011-R2A-SM-3P623	GTEX-X585-0011-R2B-SM-46MVF	GTEX-XLM4-0011-R2B-SM-4AT5Z	GTEX-XMD1-0011-R2B-SM-4AT5N	GTEX-YFC4-0011-R2a-SM-4V6DZ	GTEX-YJ89-0011-R2b-SM-4RGLT	GTEX-Z93S-0011-R2a-SM-4RGNG	GTEX-ZAB4-0011-R2a-SM-4RGNP	GTEX-ZDXO-0011-R2b-SM-4WKFG	GTEX-ZE9C-0011-R2a-SM-4WKGH	GTEX-ZV68-0011-R2a-SM-4YCDK
ENSG00000162374.16	ELAVL4	44.48	1.54	4.665	6.853	15.84	2.763	1.506	2.125	4.654	3.5269999999999997	1.395	2.329	4.4830000000000005	2.5580000000000003	11.31	24.36	6.822	1.9169999999999998	11.59	1.074	1.761	8.627	9.641	7.172999999999999	1.105	7.388	7.247999999999999	16.21	1.919	12.88	5.757000000000001	0.7478	4.6739999999999995	9.626	0.743	13.52	6.0	1.889	8.986	12.84	8.122	4.746	9.302	6.757999999999999	15.81	10.33	3.0239999999999996	11.72	18.75	7.615	11.45	1.4580000000000002	54.73	6.632000000000001	7.149	8.896	1.801	2.616	11.07	3.389	22.44	1.933	20.57	3.1910000000000003	1.6540000000000001	12.21	6.681	8.064	12.69	2.6069999999999998	1.5030000000000001	13.57	4.695	0.7888	4.591	0.8997	0.9514	10.5	2.989	0.5104	1.614	1.008	0.2179	2.065	0.8901	17.08	18.36	1.432	3.313	14.66	2.318	0.5569	6.803	1.8780000000000001	7.7589999999999995	1.109	0.9057	10.64	0.769	1.679	1.244	0.4838	18.16	7.124	0.9185	2.1959999999999997	7.27	0.205	21.28	3.4010000000000002	2.553	5.033	3.292	0.9047	1.0170000000000001	8.654	3.0039999999999996	19.9	14.35	12.5	4.716	28.67	11.83	8.684	5.986000000000001	9.27	3.015	14.69	0.8271	21.28	8.454	1.9480000000000002	5.9639999999999995	1.0390000000000001	61.02	8.311	0.8643	0.5849	1.821
ENSG00000169291.9	SHE	2.173	1.167	1.919	1.7690000000000001	2.092	1.4780000000000002	4.512	4.421	3.2310000000000003	1.389	2.28	1.158	2.244	1.675	2.5810000000000004	2.043	2.171	1.8090000000000002	2.8360000000000003	2.8560000000000003	1.093	1.901	2.356	2.427	3.802	1.7469999999999999	2.063	1.9340000000000002	5.725	2.41	2.5789999999999997	3.264	3.767	2.127	2.639	1.641	3.657	4.968	1.646	4.154	1.808	3.8989999999999996	2.178	1.8630000000000002	4.939	2.5810000000000004	2.3609999999999998	3.467	4.521	2.978	1.756	2.371	2.182	3.952	0.9554	2.8289999999999997	1.785	1.7109999999999999	2.565	0.83	2.263	2.753	2.1319999999999997	3.437	1.284	1.956	1.1909999999999998	2.583	1.858	1.771	1.266	3.8339999999999996	1.496	1.391	2.125	1.464	0.4672	2.7039999999999997	2.0269999999999997	1.5090000000000001	4.71	1.9469999999999998	3.903	1.8980000000000001	1.274	1.5	3.9589999999999996	2.064	1.0759999999999998	2.464	1.218	2.775	4.2219999999999995	0.6443	1.179	1.1320000000000001	3.6660000000000004	1.5759999999999998	3.819	0.9554	3.819	1.5819999999999999	3.6919999999999997	2.035	1.014	3.272	1.103	0.9494	2.975	5.166	2.616	4.638999999999999	5.358	4.54	2.779	1.6840000000000002	1.9340000000000002	3.69	2.237	3.138	2.43	1.39	2.639	3.552	1.365	2.372	4.141	1.617	5.937	4.947	3.633	3.322	2.251	1.705	0.6807	3.0269999999999997	0.9833	2.415	0.9095
ENSG00000132702.12	HAPLN2	329.6	188.2	251.5	142.2	86.37	105.9	114.9	431.8	127.0	169.6	179.1	75.04	72.19	129.5	51.5	104.9	501.0	409.7	70.09	209.6	87.5	150.6	111.4	407.8	934.4	126.2	232.2	155.4	66.1	228.3	105.7	63.67	345.4	179.0	46.67	124.3	234.0	94.77	200.4	136.7	172.1	136.9	75.55	81.62	360.3	315.4	230.3	157.9	381.6	147.5	130.3	49.06	140.1	272.7	153.8	339.4	81.79	142.4	160.2	119.4	77.76	134.7	198.2	329.8	39.49	141.6	77.07	62.85	163.7	86.01	158.4	182.3	179.4	235.7	85.73	241.6	52.4	359.0	426.0	41.15	794.7	165.3	99.82	214.2	62.73	257.4	310.4	214.8	527.7	127.1	164.5	274.3	233.0	43.78	282.4	256.8	85.43	337.3	85.97	386.8	357.6	346.9	263.0	62.57	208.8	48.11	141.3	64.76	315.6	717.7	90.65	567.5	83.81	83.95	157.9	548.5	96.71	622.0	106.3	223.2	44.67	112.9	328.1	332.9	273.8	241.0	363.7	414.8	1673.0	317.4	368.4	291.9	320.3	48.0	102.8	834.2	141.3	826.7	79.03
ENSG00000143248.12	RGS5	98.89	127.0	74.86	104.9	96.59	122.8	159.4	287.6	190.7	174.0	77.37	76.44	83.13	87.62	75.62	147.7	151.4	35.25	117.7	185.8	97.54	116.3	114.9	93.33	114.2	21.76	144.6	85.51	98.36	96.46	49.35	50.19	142.2	96.76	26.49	145.3	85.56	120.5	148.5	178.8	83.17	139.4	24.97	96.87	43.9	121.0	99.69	126.7	134.5	119.0	76.59	106.2	114.1	32.63	104.1	127.7	114.7	78.08	98.8	109.0	99.05	100.2	114.5	117.3	110.2	74.51	85.56	122.5	73.33	64.96	31.93	185.5	122.6	49.78	105.5	74.24	95.52	66.96	98.79	45.4	110.4	32.59	57.33	94.06	14.18	58.31	116.9	113.0	51.65	179.7	109.9	52.52	153.7	77.41	122.2	86.12	173.3	80.7	50.57	76.71	173.7	82.98	16.46	174.5	70.39	51.68	104.4	11.67	132.0	145.1	42.39	81.8	32.88	68.7	64.66	63.12	111.8	129.6	139.4	144.0	135.6	78.65	145.7	132.7	91.33	130.9	197.9	45.87	106.6	99.66	114.5	27.34	344.6	136.2	85.04	100.7	75.7	49.86	117.2
ENSG00000116161.17	CACYBP	95.75	16.04	43.85	26.39	82.86	15.59	74.23	37.96	22.64	36.53	25.13	8.431000000000001	28.88	96.45	55.74	82.02	39.46	32.57	50.85	22.34	14.96	34.27	43.31	47.45	62.24	77.94	30.08	68.36	101.4	73.41	20.3	72.47	35.85	42.72	13.38	69.5	35.07	18.7	35.38	51.8	36.75	21.07	40.1	20.44	61.34	51.16	16.15	45.62	83.84	30.77	39.02	27.13	127.8	29.86	42.32	40.21	12.0	14.11	51.71	22.86	78.18	42.96	80.5	41.86	16.18	53.5	29.35	37.11	82.61	23.93	28.41	51.87	38.93	31.88	20.33	26.7	10.49	58.44	30.62	12.98	47.25	23.37	7.999	25.38	12.21	116.8	79.07	40.57	145.0	55.0	16.5	25.44	38.15	23.78	54.7	22.56	10.79	61.81	9.328	33.97	48.01	28.75	80.68	34.52	31.59	21.91	32.15	9.476	77.77	56.07	30.29	55.48	42.62	17.29	103.4	44.16	23.71	79.85	74.43	51.9	37.93	36.29	60.91	47.57	43.29	53.48	49.29	71.51	117.6	98.5	43.4	25.45	49.52	11.49	117.0	63.42	9.601	33.09	25.57
ENSG00000144119.3	C1QL2	2.968	5.051	10.59	5.343	7.632000000000001	4.21	4.069	16.04	5.051	6.617000000000001	7.646	2.35	7.471	9.387	6.531000000000001	5.3660000000000005	13.71	5.436	8.134	8.417	4.595	6.992000000000001	7.7410000000000005	4.848	2.222	7.247000000000001	7.244	3.215	7.181	6.845	5.669	5.63	5.577999999999999	5.008	2.275	9.399	4.905	5.029	3.088	7.917999999999999	10.5	6.968999999999999	4.71	3.3369999999999997	5.5089999999999995	6.689	4.342	5.627000000000001	8.316	9.277999999999999	8.84	5.997999999999999	3.418	14.0	11.83	13.48	6.605	7.561	4.198	5.892	4.243	3.56	3.548	4.757	3.8739999999999997	4.169	5.769	8.154	7.89	9.597000000000001	3.023	5.854	11.95	8.808	4.335	4.127	2.406	6.045	4.926	5.337999999999999	7.31	1.392	0.8093	8.232000000000001	4.841	4.39	4.875	13.12	7.409	8.309	4.625	5.242999999999999	5.2829999999999995	10.24	10.77	10.07	3.909	8.353	3.2430000000000003	8.343	5.301	6.8389999999999995	5.041	8.896	7.466	7.417000000000001	13.43	0.6892	4.0360000000000005	3.648	2.42	4.522	2.09	3.9960000000000004	6.702000000000001	5.956	3.985	4.921	4.428999999999999	4.7589999999999995	4.285	4.952	9.06	13.5	9.514	12.5	2.7939999999999996	6.157	5.162000000000001	5.024	6.672999999999999	7.985	2.905	3.6630000000000003	2.22	9.299	1.588	11.65	9.241
ENSG00000271179.1	RP11-629P16.1	0.1239	0.0	0.0	0.1183	0.2053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1137	0.0	0.1487	0.4426	0.0	0.0	0.0	0.0	0.0	0.3149	0.07911	0.0	0.0	0.1341	0.09437999999999999	0.0668	0.0	0.0	0.0	0.0	0.07047	0.4511	0.0	0.2158	0.1687	0.09586	0.06702999999999999	0.2525	0.3392	0.1127	0.0	0.0	0.0	0.0	0.1304	0.0	0.0	0.1474	0.1544	0.0	0.0	0.0	0.1684	0.09675	0.0	0.0	0.05001	0.0	0.3407	0.0	0.0	0.0	0.0	0.2803	0.0	0.0	0.0902	0.0	0.0	0.06917000000000001	0.1308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1687	0.0	0.0	0.0	0.0	0.1912	0.0	0.0	0.0	0.3355	0.1056	0.0	0.0	0.0	0.38299999999999995	0.0	0.0	0.045489999999999996	0.0	0.0	0.0	0.0	0.2334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2669	0.05407000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.056920000000000005	0.3598	0.0	0.0	0.0	0.05869	0.09877999999999999	0.0	0.0	0.2731	0.159	0.0	0.05611	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000150551.10	LYPD1	3.2110000000000003	10.73	31.33	19.85	38.64	18.79	28.08	24.84	17.8	13.72	17.12	11.39	13.29	23.58	42.56	14.52	23.58	13.4	29.35	7.8870000000000005	26.46	25.21	26.09	30.07	4.752	16.86	23.97	28.17	36.85	29.91	17.64	13.51	22.26	24.0	47.98	20.62	8.836	28.39	14.0	17.71	16.23	16.89	30.95	18.32	10.4	16.94	16.0	19.54	33.2	28.65	27.76	27.92	19.31	14.07	35.6	18.59	13.48	14.03	13.32	12.4	17.84	13.97	22.73	23.6	25.07	24.05	14.38	35.92	24.51	16.27	12.3	27.79	24.01	16.15	19.15	7.443	15.38	14.69	10.95	21.18	5.455	55.49	3.616	48.29	16.74	29.36	12.95	18.49	15.86	10.06	9.628	45.7	25.74	21.24	22.71	8.24	18.02	16.73	8.554	7.3629999999999995	17.38	8.437000000000001	23.52	24.55	18.52	17.19	14.83	30.04	19.16	4.927	15.77	13.51	12.18	4.582	7.591	19.17	11.72	6.442	21.7	19.57	20.84	8.482999999999999	18.22	11.96	8.43	36.7	2.84	18.11	5.685	16.56	26.49	16.88	8.511000000000001	8.265	2.761	11.77	8.263	4.675	21.77
ENSG00000118260.14	CREB1	4.899	2.3369999999999997	4.363	3.9330000000000003	4.263999999999999	2.931	5.016	8.543	3.6319999999999997	7.1370000000000005	4.282	1.6580000000000001	2.695	4.053999999999999	3.695	4.7589999999999995	5.537000000000001	6.556	4.0889999999999995	5.396	2.549	3.813	4.702	4.345	8.693	3.614	3.2760000000000002	3.5669999999999997	4.351	4.651	2.569	2.6660000000000004	5.355	5.184	1.963	4.35	4.6610000000000005	4.8580000000000005	4.138	5.096	4.143	3.595	2.661	2.912	4.2669999999999995	6.329	3.464	5.4	8.324	5.142	3.409	4.6080000000000005	7.6160000000000005	3.748	4.442	4.095	2.489	2.392	3.9330000000000003	2.64	4.897	3.1830000000000003	5.642	6.093999999999999	2.944	3.8510000000000004	2.182	3.4730000000000003	3.5660000000000003	3.158	4.5569999999999995	5.718	4.685	2.1390000000000002	1.861	4.117	1.641	4.416	5.987	1.609	6.9110000000000005	3.403	1.815	3.4360000000000004	1.808	5.375	7.261	6.218999999999999	6.979	4.791	2.968	4.4030000000000005	7.647	3.407	5.901	2.99	3.2110000000000003	4.92	1.594	4.824	10.4	5.159	5.97	4.2010000000000005	2.875	2.972	2.827	1.8730000000000002	7.187	9.256	3.6239999999999997	7.671	4.619	5.074	3.1060000000000003	4.918	3.813	9.415	11.18	6.766	5.404	3.9560000000000004	7.555	7.265	4.1819999999999995	6.2829999999999995	6.625	4.223	10.69	8.204	4.813	3.6430000000000002	6.46	2.463	5.812	10.09	2.772	4.383	2.7569999999999997
ENSG00000152056.16	AP1S3	0.3505	0.07067999999999999	0.1889	0.193	0.3201	0.09355	0.2226	0.5962	0.1197	0.3243	0.1083	0.06225	0.055670000000000004	0.1784	0.2508	0.5228	0.40299999999999997	0.3729	0.5208	0.1542	0.09932	0.2855	0.2754	0.3346	0.2073	0.3281	0.2361	0.3343	0.5329	0.506	0.1247	0.04299	0.1533	0.4907	0.08172	0.4381	0.3303	0.1773	0.2479	0.4325	0.2675	0.1778	0.1823	0.1179	0.355	0.4007	0.04964	0.5217	0.5354	0.2725	0.1848	0.3836	0.5196	0.3138	0.41200000000000003	0.2526	0.060110000000000004	0.1012	0.4352	0.2035	0.3187	0.2707	0.5363	0.1039	0.1007	0.1525	0.2036	0.2937	0.3974	0.1186	0.1984	0.4138	0.256	0.04498	0.1231	0.1518	0.07089	0.5152	0.182	0.11699999999999999	0.3761	0.3338	0.06357	0.115	0.030780000000000002	0.4368	0.391	0.3134	0.3212	0.7039	0.1321	0.14	0.3712	0.0189	0.3333	0.02331	0.08357	0.193	0.05707	0.1202	0.3217	0.1402	0.4148	0.1519	0.04833	0.08238	0.2564	0.08104	0.8359	0.2385	0.1882	0.1487	0.32899999999999996	0.1647	0.1373	0.6184	0.2861	0.5594	1.355	0.4184	0.3591	0.27399999999999997	0.5572	0.1943	0.2233	0.4214	0.505	0.5762	0.6631	0.5347	0.3805	0.1147	0.2503	0.0685	0.6618	0.4332	0.0381	0.1263	0.04633
ENSG00000168314.17	MOBP	326.4	556.5	381.5	292.5	179.8	369.0	245.8	1199.0	608.0	744.9	201.9	414.4	270.6	612.8	288.3	309.3	613.0	403.2	169.9	1249.0	430.4	248.2	259.9	251.9	2354.0	161.8	461.4	272.6	751.7	303.0	222.7	171.4	307.9	200.4	103.0	419.3	393.1	223.0	415.2	280.7	492.1	271.0	152.4	217.7	231.4	542.1	308.2	255.2	349.1	292.6	276.1	182.1	195.7	285.5	574.4	864.3	374.3	430.6	242.4	578.7	135.4	563.9	341.3	173.6	302.8	336.0	525.7	250.8	232.2	323.4	421.0	265.1	505.7	384.8	205.1	683.7	298.0	242.8	526.6	178.2	960.9	316.3	201.8	530.8	249.5	184.9	762.7	712.3	754.9	960.4	399.9	604.0	416.3	287.8	562.2	578.3	316.7	392.3	527.0	580.2	1279.0	1224.0	202.4	364.1	1043.0	264.3	425.5	337.1	713.3	1201.0	212.1	1024.0	240.6	454.0	521.9	747.4	671.9	1221.0	450.8	641.6	433.0	310.4	907.0	889.4	476.6	582.1	1126.0	461.3	862.4	137.2	375.2	260.9	685.5	632.5	392.8	723.7	451.0	1513.0	832.7
ENSG00000151577.12	DRD3	0.0	0.0	0.02853	0.0	0.03035	0.0	0.056729999999999996	0.0	0.0	0.01787	0.0	0.0	0.0	0.0	0.0	0.0561	0.1403	0.0	0.0	0.0	0.0	0.023280000000000002	0.0	0.0	0.01565	0.02973	0.0	0.0	0.0	0.04046	0.026760000000000003	0.0	0.0	0.0	0.01851	0.0319	0.0	0.0	0.0	0.084	0.0	0.0	0.0	0.0	0.2533	0.0801	0.188	0.0	0.08086	0.0	0.0	0.0	0.04155	0.01084	0.01867	0.01073	0.0	0.0	0.022180000000000002	0.0	0.0	0.0	0.026039999999999997	0.0	0.0	0.02487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03094	0.0	0.0	0.0	0.0	0.0	0.04565	0.0222	0.3189	0.0	0.03059	0.0	0.01927	0.1274	0.0	0.0	0.1211	0.0	0.0	0.04686	0.02486	0.03452	0.0	0.0219	0.0224	0.009170999999999999	0.0	0.1121	0.0	0.0	0.0	0.0	0.0	0.0	0.02137	0.0	0.0	3.326	0.1127	0.0	0.0	0.03986	0.0	0.0	0.0	0.0	0.1119	0.01852	0.1413	0.07053	0.0	0.0	0.0	0.0142	0.0	0.0	0.04543	0.0
ENSG00000163659.12	TIPARP	6.407	3.1719999999999997	5.747000000000001	6.194	9.329	3.4330000000000003	16.06	12.59	5.569	10.44	6.296	1.996	6.669	8.191	5.761	3.8160000000000003	9.958	13.52	3.585	5.805	3.444	4.466	5.532	6.8260000000000005	10.08	17.77	7.614	4.8580000000000005	29.3	7.591	7.0520000000000005	8.526	11.88	10.61	5.861000000000001	10.47	7.2	6.582999999999999	9.662	8.382	4.053999999999999	4.665	10.6	4.043	13.27	7.2010000000000005	5.099	8.666	9.256	5.777	4.724	11.48	6.462999999999999	10.37	10.91	6.635	3.4789999999999996	4.192	9.673	4.3	6.381	16.18	6.4079999999999995	16.37	3.925	5.266	3.7239999999999998	7.007999999999999	7.847	4.212	7.846	11.85	6.2989999999999995	5.437	4.9110000000000005	14.07	3.242	13.04	9.509	15.46	17.95	8.386000000000001	5.0969999999999995	5.257999999999999	6.768	10.9	7.485	8.651	11.15	3.8339999999999996	7.553	10.26	10.11	4.217	10.71	3.773	4.006	5.69	12.69	9.44	15.68	8.193	10.41	7.621	4.908	14.89	4.6610000000000005	4.904	6.187	15.18	6.5489999999999995	16.66	7.296	5.441	8.335	12.58	5.092	10.96	10.3	12.35	5.659	4.149	10.0	6.659	13.96	7.702000000000001	9.847999999999999	22.34	19.1	13.66	10.94	7.928999999999999	37.03	2.29	3.52	16.62	4.67	6.705	4.995
ENSG00000109189.12	USP46	11.16	12.44	11.08	16.02	18.16	14.27	14.95	26.11	16.45	25.88	17.24	8.821	7.53	15.79	18.1	17.39	16.44	15.66	12.11	18.69	11.86	12.43	15.21	12.82	34.6	11.52	13.82	14.52	18.4	18.22	8.687000000000001	7.627000000000001	16.49	13.31	10.9	15.86	16.96	11.42	14.9	15.47	13.35	14.13	7.612	8.783	9.821	15.39	10.77	16.22	17.38	13.19	12.16	18.73	15.15	12.14	19.83	15.86	11.05	11.18	15.01	12.29	15.09	17.77	16.16	14.12	13.52	10.9	10.69	13.42	12.61	12.98	13.35	20.7	18.02	11.37	9.496	23.15	9.061	12.79	13.57	12.43	25.92	11.32	7.513999999999999	13.62	8.716000000000001	15.21	23.87	20.12	17.65	24.08	10.81	12.46	15.68	17.34	20.55	8.388	10.7	12.62	10.1	17.14	32.7	15.86	10.67	17.24	12.1	10.67	10.7	8.327	25.14	19.62	10.02	17.74	13.56	12.17	9.545	14.81	16.31	25.72	24.12	20.04	21.41	9.158999999999999	21.0	20.5	13.52	25.08	24.98	13.5	18.48	17.98	14.39	9.214	13.53	12.58	11.2	19.74	9.419	12.61	15.16
ENSG00000164116.16	GUCY1A3	3.76	1.8219999999999998	1.733	2.064	2.665	2.221	1.364	4.343	3.378	3.512	2.6889999999999996	0.8896	0.9874	1.545	2.988	4.136	2.929	1.5930000000000002	2.491	1.558	1.774	1.6880000000000002	3.0810000000000004	2.046	2.498	1.3019999999999998	1.526	3.303	1.527	2.353	0.9826	1.3630000000000002	1.7309999999999999	1.585	1.135	3.592	4.7	1.6880000000000002	2.76	2.7030000000000003	2.265	2.405	1.208	1.288	2.7119999999999997	4.025	1.402	4.632	3.783	2.65	1.7280000000000002	2.44	4.638999999999999	1.33	2.158	3.1	1.5859999999999999	0.8704	2.58	1.2429999999999999	1.594	1.6019999999999999	4.537	1.876	1.6030000000000002	2.842	1.649	2.398	1.786	1.541	1.033	3.2489999999999997	2.465	0.5471	1.145	0.6692	0.9632	1.87	1.3659999999999999	0.9863	1.66	2.332	0.6282	2.639	0.8049	2.551	6.278	2.969	1.159	12.81	1.135	1.68	3.608	0.7327	4.75	1.087	2.634	2.75	0.6638	1.9469999999999998	2.489	0.7043	1.7890000000000001	1.975	1.208	1.0190000000000001	5.347	0.9685	5.626	2.303	1.431	1.858	1.7209999999999999	1.2830000000000001	0.9682	1.506	2.423	3.998	5.622999999999999	2.991	4.288	1.676	4.622	2.428	1.909	3.077	2.655	3.655	2.41	4.493	1.689	0.9532	4.421	1.8430000000000002	5.311	2.6689999999999996	0.9231	0.4573	1.3230000000000002
