Name	Description	GTEX-11DXW-0011-R3b-SM-DNZZE	GTEX-11DZ1-0011-R3a-SM-DNZYY	GTEX-11GSO-0011-R3b-SM-57WB2	GTEX-11GSP-0011-R3a-SM-9QEGF	GTEX-11UD1-0011-R3a-SM-5BC6S	GTEX-11WQC-0011-R3a-SM-DO11T	GTEX-11WQK-0011-R3b-SM-DO93K	GTEX-11ZTS-0011-R3a-SM-5BC78	GTEX-11ZVC-0011-R3a-SM-5BC6V	GTEX-12WSC-0011-R3a-SM-5P9F1	GTEX-12WSD-0011-R3b-SM-5LZWN	GTEX-12WSF-0011-R3a-SM-5DUW7	GTEX-12WSM-0011-R3b-SM-5LZWI	GTEX-12ZZW-0011-R3a-SM-5DUWW	GTEX-12ZZX-0011-R3b-SM-5EGLH	GTEX-12ZZZ-0011-R3b-SM-5DUXK	GTEX-13112-0011-R3b-SM-5HL9L	GTEX-1313W-0011-R3a-SM-5EGLI	GTEX-131XH-0011-R3b-SM-5DUWM	GTEX-131YS-0011-R3b-SM-5DUXB	GTEX-139T8-0011-R3b-SM-5HL4R	GTEX-139TT-0011-R3b-SM-5K7VL	GTEX-13CF2-0011-R3b-SM-5LZZ6	GTEX-13CIG-0011-R3b-SM-5K7XF	GTEX-13CZV-0011-R3a-SM-5KM27	GTEX-13FHO-0011-R3b-SM-5K7YA	GTEX-13FLV-0011-R3b-SM-5LZYP	GTEX-13IVO-0011-R3b-SM-5IJBJ	GTEX-13JVG-0011-R3b-SM-5LZXF	GTEX-13N1W-0011-R3a-SM-5MR5E	GTEX-13N2G-0011-R3b-SM-5MR5G	GTEX-13NYB-0011-R3b-SM-A9SM4	GTEX-13NYS-0011-R3b-SM-5MR41	GTEX-13O3O-0011-R3b-SM-5KM3R	GTEX-13O3Q-0011-R3a-SM-5P9H3	GTEX-13OVH-0011-R3a-SM-5KM49	GTEX-13OVL-0011-R3b-SM-5L3I8	GTEX-13OW5-0011-R3a-SM-5L3I5	GTEX-13OW7-0011-R3a-SM-5O9DA	GTEX-13OW8-0011-R3a-SM-5L3I4	GTEX-13PLJ-0011-R3a-SM-5O9DT	GTEX-13PVQ-0011-R3b-SM-5O9D6	GTEX-13QIC-0011-R3a-SM-5P9HT	GTEX-13RTJ-0011-R3a-SM-5PNX7	GTEX-13RTL-0011-R3a-SM-5P9JP	GTEX-13S7M-0011-R3a-SM-5PNX2	GTEX-13SLW-0011-R3b-SM-5SI6Y	GTEX-13VXU-0011-R3b-SM-5O9CU	GTEX-13X6I-0011-R3b-SM-5P9HM	GTEX-13X6J-0011-R3b-SM-5P9K5	GTEX-13X6K-0011-R3b-SM-5PNUD	GTEX-1445S-0011-R3a-SM-5P9HY	GTEX-144GL-0011-R3a-SM-5P9HP	GTEX-145LS-0011-R3a-SM-5S2VJ	GTEX-145LU-0011-R3a-SM-5P9K2	GTEX-145MG-0011-R3b-SM-5SI67	GTEX-145MH-0011-R3b-SM-5P9JQ	GTEX-1477Z-0011-R3b-SM-5PNX9	GTEX-148VJ-0011-R3b-SM-69LQJ	GTEX-14BIM-0011-R3b-SM-5S2RL	GTEX-14BIN-0011-R3b-SM-6AJBL	GTEX-14BMV-0011-R3a-SM-5ZZU7	GTEX-14C39-0011-R3b-SM-5YYA3	GTEX-14DAQ-0011-R3b-SM-5YYAJ	GTEX-14E7W-0011-R3b-SM-5YYB5	GTEX-14JG1-0011-R3a-SM-62LEC	GTEX-14JIY-0011-R3a-SM-5YYAQ	GTEX-14LLW-0011-R3b-SM-62LFW	GTEX-14LZ3-0011-R3a-SM-664NQ	GTEX-14PJM-0011-R3b-SM-5ZZV9	GTEX-14PJO-0011-R3a-SM-6AJBY	GTEX-14PN4-0011-R3b-SM-686ZU	GTEX-14PQA-0011-R3b-SM-69LQO	GTEX-15CHQ-0011-R3b-SM-686ZY	GTEX-15DCD-0011-R3b-SM-D4P1P	GTEX-15DYW-0011-R3b-SM-6LPIM	GTEX-15EO6-0011-R3b-SM-7KUDY	GTEX-15ER7-0011-R3a-SM-6LPIK	GTEX-15G19-0011-R3a-SM-6LPIG	GTEX-15SHU-0011-R3a-SM-7IGPS	GTEX-16XZZ-0011-R3a-SM-7IGLH	GTEX-16YQH-0011-R3a-SM-7EPGM	GTEX-17EVP-0011-R3a-SM-7EPI9	GTEX-17EVQ-0011-R3b-SM-7LT9B	GTEX-17F97-0011-R3b-SM-7LT9E	GTEX-17HHY-0011-R3a-SM-7EWDK	GTEX-17HII-0011-R3a-SM-7LT9D	GTEX-18A6Q-0011-R3a-SM-718A7	GTEX-1A3MX-0011-R3b-SM-79OOW	GTEX-1B8L1-0011-R3a-SM-7EPIO	GTEX-1B933-0011-R3b-SM-7P8PL	GTEX-1B996-0011-R3b-SM-9QEGY	GTEX-1BAJH-0011-R3a-SM-7IGNU	GTEX-1C6WA-0011-R3a-SM-9OSVP	GTEX-1CB4G-0011-R3a-SM-CE6QQ	GTEX-1CB4H-0011-R3b-SM-9OSVI	GTEX-1E1VI-0011-R3a-SM-9OSWH	GTEX-1EH9U-0011-R3b-SM-CL534	GTEX-1EMGI-0011-R3b-SM-CE6R9	GTEX-1EN7A-0011-R3a-SM-9OSVT	GTEX-1EU9M-0011-R3a-SM-9QEHY	GTEX-1EX96-0011-R3b-SM-ARZMH	GTEX-1F48J-0011-R3b-SM-9OSVY	GTEX-1F52S-0011-R3a-SM-CKZNI	GTEX-1F6I4-0011-R3a-SM-9QEH9	GTEX-1F75A-0011-R3b-SM-ARL8K	GTEX-1F7RK-0011-R3b-SM-9OSWJ	GTEX-1GF9W-0011-R3b-SM-CJI2S	GTEX-1GMR8-0011-R3b-SM-9QEIG	GTEX-1GN73-0011-R3b-SM-9QEIL	GTEX-1GTWX-0011-R3b-SM-CJI2Z	GTEX-1GZ2Q-0011-R3a-SM-A96RP	GTEX-1GZ4I-0011-R3b-SM-9OSWP	GTEX-1H1ZS-0011-R3b-SM-CE6RS	GTEX-1H23P-0011-R3b-SM-CL54S	GTEX-1H2FU-0011-R3b-SM-CKZP4	GTEX-1H3O1-0011-R3a-SM-ACKVD	GTEX-1H3VE-0011-R3a-SM-CE6SK	GTEX-1HB9E-0011-R3a-SM-ARL7D	GTEX-1HBPH-0011-R3a-SM-A96RY	GTEX-1HCU6-0011-R3a-SM-ARU75	GTEX-1HFI6-0011-R3b-SM-A9SKB	GTEX-1HGF4-0011-R3b-SM-CL54W	GTEX-1HR98-0011-R3b-SM-A9G1U	GTEX-1HUB1-0011-R3b-SM-CKZOX	GTEX-1I1GR-0011-R3a-SM-CM2T4	GTEX-1I1GS-0011-R3b-SM-CYPS7	GTEX-1I1GV-0011-R3a-SM-CL557	GTEX-1IDJH-0011-R3a-SM-CJI42	GTEX-1IKJJ-0011-R3b-SM-C1YRW	GTEX-1IKK5-0011-R3b-SM-C1YRY	GTEX-1J1OQ-0011-R3b-SM-D4P2B	GTEX-1J8EW-0011-R3a-SM-ARU8A	GTEX-1J8Q2-0011-R3b-SM-ACKVG	GTEX-1JJEA-0011-R3b-SM-EXUTD	GTEX-1JMOU-0011-R3a-SM-EYYXN	GTEX-1JMPZ-0011-R3a-SM-EYYWX	GTEX-1KD4Q-0011-R3b-SM-EXOID	GTEX-1LVAO-0011-R3a-SM-EXOI7	GTEX-1MCQQ-0011-R3a-SM-EXURW	GTEX-1N2EE-0011-R3b-SM-EXURY	GTEX-N7MS-0011-R3a-SM-33HC6	GTEX-N7MT-0011-R3a-SM-2I3GC	GTEX-NL3H-0011-R3a-SM-2I3GL	GTEX-NPJ8-0011-R3a-SM-2HMIW	GTEX-P44G-0011-R3A-SM-2I3FC	GTEX-P44H-0011-R3A-SM-D3L8E	GTEX-PVOW-0011-R3A-SM-32PKX	GTEX-PWO3-0011-R3A-SM-2I5EX	GTEX-Q2AG-0011-R3A-SM-2HMJ9	GTEX-QDT8-0011-R3A-SM-32PKR	GTEX-QVUS-0011-R3A-SM-3GAFD	GTEX-RNOR-0011-R3A-SM-5SI8E	GTEX-RVPV-0011-R3A-SM-2TF63	GTEX-T2IS-0011-R3A-SM-32QPB	GTEX-UTHO-0011-R3A-SM-3GIK8	GTEX-WHSE-0011-R3A-SM-3P5ZM	GTEX-WL46-0011-R3A-SM-3TW8E	GTEX-WZTO-0011-R3B-SM-3NMC6	GTEX-X4EP-0011-R3A-SM-3P626	GTEX-X4XX-0011-R3B-SM-46MWK	GTEX-X4XY-0011-R3B-SM-EXOHI	GTEX-X585-0011-R3B-SM-46MVG	GTEX-XLM4-0011-R3B-SM-4AT6E	GTEX-XMD1-0011-R3B-SM-4AT5R	GTEX-Y8DK-0011-R3A-SM-4RTW5	GTEX-YFC4-0011-R3a-SM-4RGLP	GTEX-YJ89-0011-R3b-SM-4V6EF	GTEX-Z93S-0011-R3b-SM-4RGNH	GTEX-ZAB4-0011-R3a-SM-4RGNQ	GTEX-ZDXO-0011-R3a-SM-4WKFS	GTEX-ZE9C-0011-R3a-SM-4WKGT	GTEX-ZF28-0011-R3a-SM-4WWDA	GTEX-ZUA1-0011-R3a-SM-4YCEE	GTEX-ZVT3-0011-R3b-SM-51MTJ	GTEX-ZVZQ-0011-R3a-SM-57WC7
ENSG00000162374.16	ELAVL4	16.49	37.45	34.13	3.1180000000000003	4.974	3.301	5.581	4.542	2.235	20.6	7.9670000000000005	11.66	20.9	6.131	13.76	9.787	11.47	26.12	37.83	24.45	6.019	10.46	12.94	5.122000000000001	15.29	8.287	13.91	2.255	5.367000000000001	23.85	8.184	15.15	8.333	17.26	23.39	12.55	15.6	13.89	4.033	9.781	1.847	4.43	10.93	19.42	1.537	11.97	10.35	29.72	12.81	20.35	28.32	1.953	10.38	24.64	8.14	8.232000000000001	38.45	1.361	2.053	33.16	21.13	11.75	8.207	11.11	6.653	6.806	25.7	6.643	4.456	15.69	11.25	36.43	7.5360000000000005	38.94	24.88	9.214	27.34	19.9	9.363	17.17	1.91	15.6	16.03	3.32	32.41	11.08	13.94	12.86	29.96	25.1	20.59	9.855	9.16	16.57	10.89	19.92	12.63	1.452	25.26	1.709	4.45	21.33	21.09	8.92	13.13	27.19	12.16	10.37	19.93	23.97	16.91	11.38	7.555	11.08	5.662999999999999	2.126	23.05	2.219	19.68	6.8	13.47	30.11	8.658	5.145	9.907	26.18	11.07	11.77	26.46	36.19	10.63	14.63	2.094	22.4	17.2	12.49	14.91	10.48	18.93	9.923	18.74	60.26	7.172999999999999	38.28	11.43	39.58	16.91	51.02	16.68	39.15	14.44	63.55	37.37	21.52	47.37	22.92	11.99	41.38	46.72	3.465	25.0	15.44	55.93	31.13	6.4879999999999995	26.05	50.1	21.74	28.32	36.21	18.11	13.91	10.74	16.42	6.124	12.42
ENSG00000169291.9	SHE	0.907	0.7937	1.0979999999999999	0.9529	0.7005	1.238	1.807	0.9235	0.9968	0.7606	1.2329999999999999	1.3330000000000002	0.7829999999999999	1.046	1.693	1.65	1.155	1.382	0.9893	1.183	3.611	1.036	1.348	1.2409999999999999	1.306	3.392	1.515	1.148	1.026	1.235	3.694	1.742	2.475	1.159	1.296	1.3330000000000002	1.3530000000000002	2.23	1.6740000000000002	1.7209999999999999	0.861	2.261	1.453	2.121	0.7011	1.5959999999999999	1.949	1.135	3.179	1.6540000000000001	2.661	1.308	2.0709999999999997	2.099	1.087	0.8240000000000001	1.7009999999999998	1.074	1.2109999999999999	1.526	0.649	0.8647	2.325	1.9969999999999999	1.307	0.8211	0.6769	2.356	1.375	1.5759999999999998	1.777	1.014	2.559	1.733	1.3030000000000002	1.244	1.046	2.7960000000000003	3.305	1.0390000000000001	2.134	0.8740000000000001	2.438	0.9696	1.03	1.41	1.0979999999999999	2.472	1.271	1.6	0.9068	2.052	1.4609999999999999	0.7275	1.758	1.9040000000000001	0.5102	1.177	1.55	0.972	1.1440000000000001	2.682	1.571	1.3840000000000001	1.113	0.6482	0.8174	2.138	1.749	1.615	1.492	0.9145	1.2690000000000001	3.554	2.0269999999999997	1.185	1.631	0.8769	1.7830000000000001	1.054	0.9191	1.724	1.011	0.9918	0.8306	1.699	2.121	1.445	1.028	0.9263	0.4254	1.639	1.057	0.9081	1.357	1.9469999999999998	3.263	0.43	2.089	0.8049	1.421	1.605	3.2939999999999996	1.555	5.852	1.054	3.525	2.8080000000000003	3.327	1.739	3.1069999999999998	2.741	1.056	1.8130000000000002	1.4980000000000002	1.7380000000000002	1.761	1.669	2.3	10.31	2.638	1.795	3.445	2.205	1.909	1.012	1.084	1.171	1.079	2.189	1.8119999999999998	1.734	1.798	2.4130000000000003	1.195	1.229
ENSG00000132702.12	HAPLN2	27.21	45.74	15.13	18.39	11.42	10.84	28.41	9.062999999999999	10.42	19.57	49.96	19.03	41.85	32.73	54.41	24.71	10.83	18.34	57.59	39.39	24.61	24.15	9.767999999999999	7.7139999999999995	21.6	18.01	53.76	4.993	14.44	37.69	46.49	11.15	16.46	16.92	16.18	29.06	44.1	16.49	7.91	11.27	5.484	16.26	12.54	22.69	13.02	15.47	11.49	20.94	16.11	11.07	116.0	16.02	19.47	10.68	11.13	7.013999999999999	40.42	9.501	24.57	17.28	13.56	32.31	26.61	23.26	11.82	40.66	11.97	29.1	10.4	225.0	71.99	33.51	12.38	64.39	52.93	17.08	26.54	15.58	14.6	22.8	95.31	8.75	14.84	10.26	18.2	22.04	32.63	46.8	19.69	18.58	22.83	77.33	8.062000000000001	34.04	12.43	31.83	8.435	32.45	27.17	11.51	13.05	71.25	23.28	53.93	23.51	31.46	41.82	27.3	11.96	27.09	39.91	33.87	31.94	78.44	16.78	14.62	8.334	10.27	97.82	58.87	20.49	41.89	22.68	57.78	9.573	19.57	28.35	23.74	19.36	22.59	20.11	10.9	6.395	36.68	6.247000000000001	12.76	91.85	59.12	11.7	14.39	16.88	16.0	613.4	5.497000000000001	248.6	50.57	55.47	65.92	21.63	30.5	18.36	39.02	48.16	44.7	17.01	73.92	24.57	30.55	45.81	8.545	34.66	7.938	49.49	42.59	188.0	23.68	32.03	12.28	10.26	26.52	27.62	50.75	12.18	20.62	10.69	36.14
ENSG00000143248.12	RGS5	70.28	53.06	81.48	90.32	152.1	112.8	27.87	110.8	92.09	72.06	63.18	95.18	61.43	96.55	80.38	78.14	108.1	99.9	96.45	78.78	63.64	62.12	89.2	64.38	74.57	69.1	83.92	22.75	137.2	56.64	46.98	136.7	32.49	65.0	78.69	67.78	95.04	32.45	66.85	35.32	63.56	87.52	72.33	93.12	53.35	113.2	89.4	90.73	77.17	95.34	90.59	80.05	74.39	102.7	63.98	56.08	80.21	96.95	48.57	62.9	74.31	47.23	90.42	90.63	27.5	18.42	73.99	29.0	65.9	83.12	67.46	70.81	33.74	117.7	88.57	87.16	64.84	102.8	49.31	86.88	85.74	30.54	134.3	92.92	56.27	68.05	67.4	112.6	67.99	92.31	70.52	59.6	102.5	57.94	92.42	28.21	51.3	44.97	109.3	77.62	48.14	89.9	38.38	51.8	73.01	103.6	68.92	61.46	77.31	69.9	70.77	44.5	85.71	76.67	70.08	21.05	98.49	35.42	81.09	77.14	98.92	80.29	116.1	64.45	71.4	129.3	64.11	102.1	62.48	89.01	51.46	35.83	76.01	90.6	106.1	46.16	90.86	34.97	62.73	82.99	83.19	120.8	74.4	99.13	42.01	58.28	78.56	215.8	145.6	105.2	126.2	80.7	106.1	100.8	129.8	121.3	64.21	83.84	83.08	30.01	70.41	169.5	95.15	73.83	27.78	131.5	59.92	76.57	113.2	87.11	91.58	58.45	40.98	146.6	108.1	51.58
ENSG00000116161.17	CACYBP	59.83	134.7	86.06	28.21	29.65	17.61	62.22	22.56	14.69	71.31	18.65	54.17	54.58	13.93	48.96	50.5	39.0	71.12	92.44	91.92	27.14	78.78	37.97	62.66	45.84	36.89	42.49	65.79	37.24	145.4	137.0	57.52	89.55	50.5	63.92	45.47	45.24	169.7	18.72	41.81	11.46	36.23	48.28	56.31	8.373	43.36	30.73	89.17	57.61	63.78	91.65	16.78	44.73	65.43	31.19	32.6	87.18	11.06	10.97	100.7	73.63	31.77	30.12	29.7	41.57	55.01	97.44	35.08	25.4	64.82	31.78	85.94	31.3	109.8	91.8	36.89	85.84	53.42	32.33	63.78	12.05	92.31	64.26	14.16	89.6	40.08	45.02	39.15	93.48	69.65	86.69	118.1	32.93	79.06	56.35	71.22	39.96	13.91	109.8	12.15	21.86	65.55	73.39	54.35	49.18	84.33	68.03	34.54	66.15	95.8	61.38	52.17	27.57	51.5	26.49	44.34	67.01	7.462000000000001	112.6	27.58	58.53	84.04	38.35	19.94	39.07	83.48	43.27	38.11	90.1	89.11	67.64	69.57	10.34	52.78	74.71	54.01	70.12	30.91	70.38	47.84	64.42	118.3	57.11	142.2	113.7	79.48	67.01	128.1	48.09	98.86	58.05	115.7	91.92	63.0	110.5	71.62	53.9	92.24	112.8	35.35	106.7	31.57	136.9	92.11	44.7	75.35	115.1	58.08	80.87	106.2	61.04	40.39	43.63	68.72	18.73	45.46
ENSG00000144119.3	C1QL2	20.83	13.52	9.744	14.9	23.72	19.01	13.7	18.2	9.54	15.73	16.2	11.4	17.46	11.32	16.19	18.32	21.05	14.33	29.67	18.49	13.44	12.36	20.48	16.2	14.24	10.17	18.06	8.367	23.62	27.16	4.842	16.59	13.57	25.71	13.83	21.58	15.91	7.449	22.75	33.59	10.72	21.76	28.31	16.23	17.18	21.9	16.67	15.18	16.97	25.21	8.308	19.34	33.31	24.94	27.86	24.38	21.56	12.51	5.569	15.18	17.92	18.59	15.88	19.09	24.25	19.72	14.47	11.63	13.19	15.02	8.647	7.876	13.41	17.87	10.55	18.18	12.7	17.52	10.18	11.0	13.4	28.88	20.59	15.0	12.38	27.5	19.22	15.27	22.78	14.61	23.26	20.96	23.47	14.02	12.46	14.53	16.18	5.725	23.06	17.3	26.33	21.41	10.56	11.87	22.51	16.96	9.192	20.01	11.48	28.09	25.21	18.81	18.64	7.103	17.84	6.635	23.03	11.2	16.0	15.74	28.13	12.63	22.88	11.91	20.57	11.9	15.0	22.85	40.46	21.46	25.16	17.31	14.03	13.72	17.72	26.07	17.54	19.97	9.41	26.88	24.77	5.401	6.859	5.593	4.792	15.94	18.92	15.17	7.986000000000001	14.48	12.83	3.603	13.93	16.11	7.597	9.277999999999999	16.47	22.18	11.86	4.338	40.52	2.4930000000000003	29.93	16.69	21.65	20.76	11.34	21.9	18.21	13.08	18.17	25.04	11.83	12.94	14.65	19.56
ENSG00000271179.1	RP11-629P16.1	0.0	0.2221	0.2305	0.0	0.0	0.0	0.0	0.0	0.0	0.1568	0.0	0.0	0.1516	0.0	0.1362	0.0	0.1399	0.1297	0.2288	0.1815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2152	0.053489999999999996	0.0	0.0	0.0	0.04034	0.0	0.0	0.0	0.1617	0.3289	0.0	0.0829	0.0	0.4282	0.0	0.0	0.2961	0.0	0.0	0.0	0.2338	0.1093	0.0	0.0	0.0	0.9822	0.0	0.0	0.0	0.3885	0.0	0.0	0.0	0.0	0.0	0.0	0.1373	0.0	0.0	0.0	0.3183	0.09004	0.1258	0.0	0.0	0.0	0.0	0.0	0.1247	0.0	0.0	0.0	0.04981	0.191	0.3921	0.06155	0.09293	0.0	0.1111	0.2062	0.0	0.1013	0.0	0.0	0.1893	0.0	0.0	0.0	0.0	0.06386	0.0	0.0	0.04879	0.1446	0.2223	0.0	0.09858	0.07017999999999999	0.0	0.0	0.0	0.0	0.5619	0.0	0.0	0.1291	0.0	0.0	0.0	0.0	0.1466	0.06317	0.0	0.34	0.2643	0.1701	0.0	0.0	0.0	0.2835	0.0	0.0	0.2296	0.0	0.0	0.0	0.08302999999999999	0.3186	0.0	0.1095	0.0	0.3106	0.05313	0.0	0.1096	0.195	0.1446	0.2487	0.5599	0.3234	0.4708	0.0	0.05209	0.2009	0.3371	0.0	0.2077	0.0	0.2533	0.1957	0.0	0.321	0.6295	0.313	0.0	0.2549	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000150551.10	LYPD1	20.54	6.7010000000000005	16.13	16.54	26.55	20.69	15.86	14.61	11.52	11.63	16.92	10.97	11.15	5.665	23.49	19.17	32.08	11.45	16.66	24.93	7.263999999999999	37.2	17.31	21.23	10.36	11.76	21.49	12.36	12.07	20.4	30.35	24.87	11.56	17.53	24.53	18.69	19.08	15.59	24.87	13.36	9.28	18.01	23.45	14.61	8.684	19.35	12.27	11.82	10.78	13.12	10.08	21.94	20.97	19.39	18.94	31.95	10.42	12.55	4.149	13.33	18.34	10.26	20.99	21.41	17.2	28.09	24.72	18.46	15.47	12.73	16.73	12.14	8.844	23.58	15.89	15.43	16.51	23.33	9.811	21.47	7.569	24.4	19.65	15.54	10.12	21.58	15.17	17.68	13.94	13.67	20.19	12.6	21.79	14.78	18.15	9.829	15.79	4.545	18.19	14.28	16.1	14.57	12.7	14.9	15.87	15.12	12.71	18.06	13.6	16.38	11.26	15.34	21.04	14.39	10.77	18.43	20.9	4.713	21.21	11.67	13.13	17.83	20.59	6.65	22.29	17.59	24.87	11.1	15.79	17.31	17.84	17.99	9.851	12.87	22.04	16.4	19.11	29.56	14.71	20.19	21.86	9.425	10.1	8.488	13.58	5.874	13.8	9.965	9.886000000000001	11.25	11.6	9.972000000000001	9.488	15.98	9.437999999999999	6.845	18.09	7.194	28.43	21.72	14.89	6.233	12.89	24.06	14.5	20.0	12.17	14.06	18.53	12.17	18.88	16.98	10.18	21.54	11.84	16.43
ENSG00000118260.14	CREB1	3.8110000000000004	5.2139999999999995	5.332999999999999	2.985	4.864	2.7119999999999997	2.565	2.9619999999999997	2.189	3.577	3.1919999999999997	3.565	4.582	2.1430000000000002	5.289	4.192	3.5180000000000002	4.9110000000000005	6.442	4.723	3.492	4.223	3.986	2.8739999999999997	3.613	4.135	3.947	2.43	3.238	4.859	5.882999999999999	3.255	4.707	3.636	4.671	3.428	4.336	3.8510000000000004	3.0610000000000004	3.3810000000000002	1.835	3.09	3.6289999999999996	5.122000000000001	1.405	4.391	3.772	5.417000000000001	4.795	6.1339999999999995	8.047	2.7689999999999997	4.973	5.667999999999999	3.168	2.822	5.935	2.5869999999999997	2.227	5.542999999999999	4.508	2.7880000000000003	4.0089999999999995	3.966	4.578	3.826	5.896	3.591	3.352	8.145	3.8710000000000004	6.042999999999999	3.9010000000000002	8.242	8.254	3.0869999999999997	5.9879999999999995	6.085	3.306	4.843999999999999	2.647	4.555	5.497999999999999	2.3609999999999998	5.619	3.503	3.003	4.485	7.085	4.648	5.199	4.649	3.679	3.8310000000000004	4.0360000000000005	4.938	2.798	2.935	5.9879999999999995	1.954	2.272	4.864	5.439	5.083	3.5039999999999996	4.404	2.9560000000000004	3.043	3.701	4.905	4.4430000000000005	3.67	3.196	4.559	3.898	2.272	5.039	0.9827	5.54	2.641	3.068	6.01	4.224	2.7560000000000002	2.887	5.225	3.7110000000000003	4.373	5.361000000000001	6.902	2.8960000000000004	4.0889999999999995	1.902	3.897	5.02	4.422	5.34	3.052	4.276	2.628	4.654	9.146	9.008	7.329	9.945	5.734	5.082	12.05	5.891	6.702999999999999	8.283	9.184	5.739	6.047999999999999	9.068999999999999	5.59	3.407	5.729	8.94	9.485	8.449	2.412	9.604	5.617000000000001	4.647	6.102	7.155	4.638999999999999	6.178999999999999	7.754	6.204	5.157	4.163	5.332000000000001	2.617	4.49
ENSG00000152056.16	AP1S3	0.5182	0.5316	1.12	0.06709	0.4641	0.1137	0.2899	0.3226	0.09291	0.5246	0.1751	0.3704	0.8823	0.1296	0.8075	0.4197	0.3955	0.8465	1.8419999999999999	0.4542	0.2048	0.4163	0.4135	0.2156	0.3906	0.5558	0.5151	0.1224	0.2749	1.649	0.753	0.6375	0.5344	0.6946	0.8145	0.6616	0.7490000000000001	0.5124	0.2413	0.583	0.08621000000000001	0.4678	0.3811	1.023	0.1151	0.4869	0.2958	1.054	0.3944	1.001	1.6	0.2404	0.5491	0.7764	0.2848	0.3092	1.588	0.2084	0.043989999999999994	1.3219999999999998	0.7307	0.12	0.5034	0.5132	0.2608	0.2665	0.5136	0.4262	0.1303	0.6495	0.4258	0.8369	0.4199	1.476	0.6233	0.1469	0.8758	0.8755	0.3315	0.7317	0.1218	0.5714	0.8073	0.1342	0.7204	0.5481	0.3739	0.4622	1.024	0.8101	0.5913	0.6264	0.5317	0.4262	0.3812	0.6171	0.3881	0.1204	0.6866	0.1322	0.1039	0.5752	0.7889	0.4168	0.6953	0.4465	0.3449	0.3302	0.4207	1.1520000000000001	0.8043	0.5115	0.1986	0.6031	0.1654	0.06046	1.0490000000000002	0.061329999999999996	0.6408	0.2387	0.2572	0.9143	0.2512	0.1797	0.4519	0.7902	0.5317	0.5918	1.3219999999999998	1.043	0.2856	0.345	0.1402	0.5346	0.5075	0.3733	0.5994	0.3362	0.3837	0.2883	0.6141	2.0869999999999997	0.4449	1.3159999999999998	0.7056	2.052	0.8148	2.8080000000000003	0.3278	1.591	1.101	2.354	1.176	0.516	0.9986	0.3103	0.765	1.435	1.892	2.043	1.13	0.2041	2.2319999999999998	1.412	0.2744	0.838	1.499	0.7247	1.226	1.1159999999999999	0.5898	0.3021	0.3125	0.9743	0.2102	0.2784
ENSG00000168314.17	MOBP	66.92	26.21	29.0	83.83	75.61	27.52	106.0	32.35	187.8	34.23	172.7	52.29	25.12	62.17	228.6	83.99	31.18	71.52	35.54	34.95	246.7	68.45	24.95	60.99	20.88	61.12	116.3	25.4	21.16	14.35	81.18	28.02	35.51	8.097000000000001	45.73	16.24	106.4	20.47	13.74	12.66	43.17	16.25	8.435	11.39	88.05	15.82	6.587999999999999	24.93	17.57	16.3	209.3	32.84	44.63	9.329	17.29	22.88	61.24	14.99	62.74	13.47	24.42	220.9	16.5	34.79	180.6	141.8	46.93	32.18	34.68	741.1	34.67	36.93	15.15	101.6	173.8	42.89	121.5	18.55	29.72	28.3	294.6	17.39	12.01	58.32	39.32	23.46	81.79	303.9	12.58	18.18	23.34	22.22	16.67	50.87	64.08	16.67	17.58	947.7	29.53	21.8	98.62	415.9	34.32	208.0	56.3	152.7	59.57	40.17	10.46	11.3	14.5	155.2	198.9	29.55	13.0	19.88	15.52	38.35	285.5	198.8	10.37	144.4	45.58	284.3	10.97	28.51	18.68	54.83	11.0	26.3	33.33	27.26	33.16	45.53	7.598	7.023	141.3	183.9	36.27	65.24	18.94	39.83	790.1	69.49	416.1	36.75	52.63	244.3	121.9	55.67	39.26	86.64	101.3	198.2	73.6	234.6	26.37	30.65	64.34	28.9	29.18	219.4	35.55	22.41	299.7	103.5	38.85	34.58	18.61	20.18	59.94	324.9	31.01	22.89	37.81	201.5
